Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_tipus_propietari,Concepte,Valor
2018,NC,No consta,NC,No consta,NC,Subjecte físic,Nombre,3
2018,NC,No consta,NC,No consta,NC,Subjecte jurídic,Nombre,20
2018,1,Ciutat Vella,1,el Raval,1,Subjecte físic,Nombre,536
2018,1,Ciutat Vella,1,el Raval,1,Subjecte jurídic,Nombre,442
2018,1,Ciutat Vella,1,el Raval,1,Altres,Nombre,3
2018,1,Ciutat Vella,1,el Raval,2,Subjecte físic,Nombre,340
2018,1,Ciutat Vella,1,el Raval,2,Subjecte jurídic,Nombre,287
2018,1,Ciutat Vella,1,el Raval,2,Comunitat de propietaris,Nombre,1
2018,1,Ciutat Vella,1,el Raval,2,Altres,Nombre,2
2018,1,Ciutat Vella,1,el Raval,3,Subjecte físic,Nombre,1061
2018,1,Ciutat Vella,1,el Raval,3,Subjecte jurídic,Nombre,353
2018,1,Ciutat Vella,1,el Raval,3,Comunitat de propietaris,Nombre,3
2018,1,Ciutat Vella,1,el Raval,3,Altres,Nombre,3
2018,1,Ciutat Vella,1,el Raval,4,Subjecte físic,Nombre,964
2018,1,Ciutat Vella,1,el Raval,4,Subjecte jurídic,Nombre,475
2018,1,Ciutat Vella,1,el Raval,4,Comunitat de propietaris,Nombre,1
2018,1,Ciutat Vella,1,el Raval,4,Altres,Nombre,5
2018,1,Ciutat Vella,1,el Raval,5,Subjecte físic,Nombre,757
2018,1,Ciutat Vella,1,el Raval,5,Subjecte jurídic,Nombre,462
2018,1,Ciutat Vella,1,el Raval,5,Comunitat de propietaris,Nombre,1
2018,1,Ciutat Vella,1,el Raval,5,Altres,Nombre,8
2018,1,Ciutat Vella,1,el Raval,6,Subjecte físic,Nombre,530
2018,1,Ciutat Vella,1,el Raval,6,Subjecte jurídic,Nombre,294
2018,1,Ciutat Vella,1,el Raval,6,Altres,Nombre,2
2018,1,Ciutat Vella,1,el Raval,7,Subjecte físic,Nombre,615
2018,1,Ciutat Vella,1,el Raval,7,Subjecte jurídic,Nombre,198
2018,1,Ciutat Vella,1,el Raval,7,Altres,Nombre,3
2018,1,Ciutat Vella,1,el Raval,8,Subjecte físic,Nombre,736
2018,1,Ciutat Vella,1,el Raval,8,Subjecte jurídic,Nombre,355
2018,1,Ciutat Vella,1,el Raval,8,Altres,Nombre,6
2018,1,Ciutat Vella,1,el Raval,9,Subjecte físic,Nombre,966
2018,1,Ciutat Vella,1,el Raval,9,Subjecte jurídic,Nombre,262
2018,1,Ciutat Vella,1,el Raval,9,Altres,Nombre,2
2018,1,Ciutat Vella,1,el Raval,10,Subjecte físic,Nombre,814
2018,1,Ciutat Vella,1,el Raval,10,Subjecte jurídic,Nombre,392
2018,1,Ciutat Vella,1,el Raval,10,Comunitat de propietaris,Nombre,2
2018,1,Ciutat Vella,1,el Raval,10,Altres,Nombre,1
2018,1,Ciutat Vella,1,el Raval,11,Subjecte físic,Nombre,1031
2018,1,Ciutat Vella,1,el Raval,11,Subjecte jurídic,Nombre,297
2018,1,Ciutat Vella,1,el Raval,11,Altres,Nombre,9
