Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_tipus_propietari,Concepte,Nombre
2025,1,Ciutat Vella,1,el Raval,1,Persona Física - Espanyola,Nombre,385
2025,1,Ciutat Vella,1,el Raval,2,Persona Física - Espanyola,Nombre,308
2025,1,Ciutat Vella,1,el Raval,3,Persona Física - Espanyola,Nombre,753
2025,1,Ciutat Vella,1,el Raval,4,Persona Física - Espanyola,Nombre,764
2025,1,Ciutat Vella,1,el Raval,5,Persona Física - Espanyola,Nombre,576
2025,1,Ciutat Vella,1,el Raval,6,Persona Física - Espanyola,Nombre,402
2025,1,Ciutat Vella,1,el Raval,7,Persona Física - Espanyola,Nombre,500
2025,1,Ciutat Vella,1,el Raval,8,Persona Física - Espanyola,Nombre,626
2025,1,Ciutat Vella,1,el Raval,9,Persona Física - Espanyola,Nombre,684
2025,1,Ciutat Vella,1,el Raval,10,Persona Física - Espanyola,Nombre,543
2025,1,Ciutat Vella,1,el Raval,11,Persona Física - Espanyola,Nombre,861
2025,1,Ciutat Vella,1,el Raval,12,Persona Física - Espanyola,Nombre,617
2025,1,Ciutat Vella,1,el Raval,13,Persona Física - Espanyola,Nombre,391
2025,1,Ciutat Vella,1,el Raval,14,Persona Física - Espanyola,Nombre,459
2025,1,Ciutat Vella,1,el Raval,15,Persona Física - Espanyola,Nombre,761
2025,1,Ciutat Vella,1,el Raval,16,Persona Física - Espanyola,Nombre,686
2025,1,Ciutat Vella,1,el Raval,17,Persona Física - Espanyola,Nombre,668
2025,1,Ciutat Vella,1,el Raval,18,Persona Física - Espanyola,Nombre,416
2025,1,Ciutat Vella,1,el Raval,19,Persona Física - Espanyola,Nombre,728
2025,1,Ciutat Vella,1,el Raval,20,Persona Física - Espanyola,Nombre,892
2025,1,Ciutat Vella,1,el Raval,21,Persona Física - Espanyola,Nombre,934
2025,1,Ciutat Vella,2,el Barri Gòtic,22,Persona Física - Espanyola,Nombre,480
2025,1,Ciutat Vella,2,el Barri Gòtic,23,Persona Física - Espanyola,Nombre,895
2025,1,Ciutat Vella,2,el Barri Gòtic,25,Persona Física - Espanyola,Nombre,648
2025,1,Ciutat Vella,2,el Barri Gòtic,26,Persona Física - Espanyola,Nombre,533
2025,1,Ciutat Vella,2,el Barri Gòtic,27,Persona Física - Espanyola,Nombre,506
2025,1,Ciutat Vella,2,el Barri Gòtic,28,Persona Física - Espanyola,Nombre,704
2025,1,Ciutat Vella,2,el Barri Gòtic,29,Persona Física - Espanyola,Nombre,462
2025,1,Ciutat Vella,2,el Barri Gòtic,30,Persona Física - Espanyola,Nombre,685
2025,1,Ciutat Vella,2,el Barri Gòtic,31,Persona Física - Espanyola,Nombre,499
2025,1,Ciutat Vella,3,la Barceloneta,32,Persona Física - Espanyola,Nombre,818
2025,1,Ciutat Vella,3,la Barceloneta,33,Persona Física - Espanyola,Nombre,436
2025,1,Ciutat Vella,3,la Barceloneta,34,Persona Física - Espanyola,Nombre,470
2025,1,Ciutat Vella,3,la Barceloneta,35,Persona Física - Espanyola,Nombre,485
2025,1,Ciutat Vella,3,la Barceloneta,36,Persona Física - Espanyola,Nombre,453
2025,1,Ciutat Vella,3,la Barceloneta,37,Persona Física - Espanyola,Nombre,463
2025,1,Ciutat Vella,3,la Barceloneta,38,Persona Física - Espanyola,Nombre,608
2025,1,Ciutat Vella,3,la Barceloneta,39,Persona Física - Espanyola,Nombre,547
2025,1,Ciutat Vella,3,la Barceloneta,40,Persona Física - Espanyola,Nombre,447
2025,1,Ciutat Vella,3,la Barceloneta,41,Persona Física - Espanyola,Nombre,679
2025,1,Ciutat Vella,3,la Barceloneta,42,Persona Física - Espanyola,Nombre,555
2025,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,Persona Física - Espanyola,Nombre,482
2025,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,Persona Física - Espanyola,Nombre,544
2025,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,Persona Física - Espanyola,Nombre,855
2025,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,Persona Física - Espanyola,Nombre,645
2025,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,Persona Física - Espanyola,Nombre,661
