census_id,kernel_spill_100,kernel_spill_300,kernel_spill_500,airbnb_listings,geometry,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros,other_owners,individual_owners,legal_entity_owners,hoa_owners,total_owners,pct_legal_entity,edu_level_1,edu_level_2,edu_level_3,edu_level_4,edu_level_5,edu_level_6,total_population,pct_edu_1,pct_edu_2,pct_edu_3,pct_edu_4,pct_edu_5,pct_edu_6,population,airbnb_per_1000,year,post
01005,7.090250183642305,45.31438365278065,104.72789464619184,4,"c(430817.934111908, 430819.534351272, 430853.3207903, 430957.790745462, 4581025.78938382, 4581193.42700265, 4581228.63364943, 4581222.08619256)",2015,1,Ciutat Vella,1,el Raval,5,10414.04,8,757,462,1,1228,0.3762214983713355,175,687,434,348,479,30,2153,0.08128193218764515,0.3190896423594984,0.20157919182535997,0.16163492800743148,0.222480260102183,0.013934045517882025,2460,1.6260162601626016,2015,0
01006,6.47140670939262,42.78390211475453,103.18441611130147,2,"c(430788.88314303, 430850.855304536, 4581311.40981171, 4581320.81076724)",2015,1,Ciutat Vella,1,el Raval,6,11801.14,2,530,294,0,826,0.3559322033898305,67,412,312,275,315,18,1399,0.04789135096497498,0.2944960686204432,0.22301644031451037,0.19656897784131522,0.22516082916368835,0.012866333095067906,1560,1.282051282051282,2015,0
01007,4.744386282304929,46.61145540909696,108.64534235424517,1,"c(430523.481621746, 4581191.81801949)",2015,1,Ciutat Vella,1,el Raval,7,10796.26,3,615,198,0,816,0.2426470588235294,109,602,382,293,368,22,1776,0.06137387387387387,0.33896396396396394,0.21509009009009009,0.16497747747747749,0.2072072072072072,0.012387387387387387,2044,0.4892367906066536,2015,0
01008,8.19218059775244,56.17797909801588,116.04496479256314,1,"c(430368.902019583, 4581031.19989908)",2015,1,Ciutat Vella,1,el Raval,8,8663.84,6,736,355,0,1097,0.3236098450319052,221,1283,620,353,363,88,2928,0.07547814207650273,0.4381830601092896,0.21174863387978143,0.12056010928961748,0.12397540983606557,0.030054644808743168,3414,0.29291154071470415,2015,0
01009,11.963856083831082,63.524518669882234,121.67276863154419,1,"c(430312.879789307, 4580945.13608492)",2015,1,Ciutat Vella,1,el Raval,9,11703.31,2,966,262,0,1230,0.21300813008130082,113,639,398,320,365,47,1882,0.06004250797024442,0.33953241232731135,0.21147715196599362,0.17003188097768332,0.19394261424017004,0.02497343251859724,2175,0.4597701149425288,2015,0
01010,6.53439961255351,53.91505402528388,116.2879309450131,2,"c(430376.466224805, 430418.979507307, 4581122.17063905, 4581195.04118616)",2015,1,Ciutat Vella,1,el Raval,10,9696.37,1,814,392,2,1209,0.3242349048800662,118,783,430,289,326,45,1991,0.05926670015067805,0.39326971371170266,0.21597187343043697,0.14515318935208438,0.16373681567051732,0.022601707684580613,2359,0.8478168715557439,2015,0
01011,13.797273927316297,70.73887349647471,136.37548304412658,NA,list(),2015,1,Ciutat Vella,1,el Raval,11,9507.57,9,1031,297,0,1337,0.22213911742707554,195,1055,634,457,459,64,2864,0.06808659217877094,0.3683659217877095,0.22136871508379888,0.15956703910614525,0.16026536312849163,0.0223463687150838,3378,NA,2015,0
01012,11.854265791804481,63.60644102007467,127.05409770055448,NA,list(),2015,1,Ciutat Vella,1,el Raval,12,12227.76,2,732,248,0,982,0.2525458248472505,81,456,379,316,365,31,1628,0.049754299754299756,0.2800982800982801,0.2328009828009828,0.1941031941031941,0.2242014742014742,0.019041769041769043,1883,NA,2015,0
01013,5.772448899594564,52.70149241408404,117.38189784753565,2,"c(430197.163213201, 430236.100305081, 4581260.46061536, 4581222.33594352)",2015,1,Ciutat Vella,1,el Raval,13,13079.04,4,515,124,0,643,0.19284603421461896,58,325,260,262,258,15,1178,0.04923599320882852,0.2758913412563667,0.22071307300509338,0.22241086587436332,0.21901528013582344,0.012733446519524618,1356,1.4749262536873156,2015,0
01014,6.360954387598617,50.931832370899244,116.71688823201174,2,"c(430235.237671773, 430341.80408473, 4581393.32834971, 4581431.1632148)",2015,1,Ciutat Vella,1,el Raval,14,11673.82,2,521,167,0,690,0.24202898550724639,130,532,410,290,337,41,1740,0.07471264367816093,0.3057471264367816,0.23563218390804597,0.16666666666666666,0.19367816091954024,0.023563218390804597,1986,1.0070493454179255,2015,0
